부서,담당,업무
도시계획과,지역개발담당,지구단위계획 수립
도시계획과,지역개발담당,도시계획시설 단계별 집행계획수립
도시계획과,지역개발담당,도시계획시설 실시계획 인가(도로제외)
도시계획과,지역개발담당,도시계획위원회 및 도시계획 조례 운영
도시계획과,지역개발담당,기반시설특별회계 운영에 관한 사항
도시계획과,지역개발담당,토지이용규제에 관한 사항
도시계획과,지역개발담당,토지이용계획 확인원 발급
도시계획과,지역개발담당,전문 건설업에 관한 사항
도시계획과,지역개발담당,전시 건설동원 계획수립
도시계획과,지역개발담당,부서 내 다른 분야에 속하지 아니하는 사항
도시계획과,공영개발담당,발전촉진형지역개발사업 추진
도시계획과,공영개발담당,지역수요맞춤사업에 관한 사항
도시계획과,공영개발담당,구.개발촉진지구 조성에 관한 사항
도시계획과,공영개발담당,기타지역개발사업 관련
도시계획과,공영개발담당,유통물류단지 조성사업에 관한 사항
도시계획과,공영개발담당,택지개발사업에 관한 사항
도시계획과,공영개발담당,소도읍 개발사업 계획 승인 및 시행
도시계획과,공영개발담당,은해사집단시설지구 이자차입금 지원
도시계획과,공영개발담당,설계자문 및 건설기술 심의위원회에 관한 사항
도시계획과,공영개발담당,광역교통시설부담금 (택지관련)에 관한 사항
도시계획과,공영개발담당,온천법에 관한 사항
도시계획과,공영개발담당,도시개발법에 의한 사업에 관한 사항
교통행정과,교통지도담당,교통행정의 종합기획 조정
교통행정과,교통지도담당,시내버스 운행에 관한 사항
교통행정과,교통지도담당,여객자동차 운송사업 관련 인·허가 및 관리
교통행정과,교통지도담당,화물자동차 운송사업 관련인·허가 및 관리
교통행정과,교통지도담당,사업용 차량의 법규위반차량 단속 및 행정처분
교통행정과,교통지도담당,사업용 차량 교통불편신고에 관한 사항
교통행정과,교통지도담당,사업용차량 밤샘주차 지도단속
교통행정과,교통지도담당,물류창고업 등록관리
교통행정과,교통지도담당,특별교통수단(교통약자차량) 운영
교통행정과,교통지도담당,자가용 유상운송
교통행정과,교통지도담당,충무계획
교통행정과,교통지도담당,버스터미널에 관한 사항
교통행정과,교통지도담당,궤도·삭도에 관한 사항
교통행정과,교통지도담당,교통량 및 물동량 조사
교통행정과,교통지도담당,여객 자동차 운임·요금에 관한 사항
교통행정과,교통지도담당,운수종사원 교육에 관한 사항
교통행정과,교통지도담당,과내 다른 업무분야에 속하지 아니하는 사항
교통행정과,차량등록담당,교통안전계획 수립 및 시행
교통행정과,차량등록담당,교통영향평가에 관한 사항
교통행정과,차량등록담당,교통안전시설물 설치 및 관리
교통행정과,차량등록담당,교통안전시설물 타기관 협의
교통행정과,차량등록담당,교통봉사단체 관리
교통행정과,차량등록담당,교통안전캠페인 및 홍보
교통행정과,차량등록담당,불법 주·정차 지도단속 및 단속요원 관리
교통행정과,차량등록담당,"교통상황실, CCTV 관리·운영"
교통행정과,차량등록담당,노상·노외주차장에 관한 사항
교통행정과,차량등록담당,시설물의 부설주차장에 관한 사항
교통행정과,차량등록담당,교통안전문화지수에 관한 사항
교통행정과,차량등록담당,읍·면·동지역 승강장에 관한 사항
안전재난하천과,민방위담당,재난안전관리정책 총괄·조정
안전재난하천과,민방위담당,지역안전관리계획 수립 및 협의·평가 업무
안전재난하천과,민방위담당,시민안전보험 갱신 및 운영에 관한 사항
안전재난하천과,민방위담당,국가기반체계보호 및 피해복구 등 기반체계에 관한 제반업무
안전재난하천과,민방위담당,"재난안전대책본부 구성 운영, 유관기관 협조"
안전재난하천과,민방위담당,재난상황관리·대처·전파 및 응급조치
안전재난하천과,민방위담당,재난취약시설 안전대책 수립 및 시행
안전재난하천과,민방위담당,재난관리자원 관리
안전재난하천과,민방위담당,재난관리평가 및 재난관리실태 공시에 관한 사항
안전재난하천과,민방위담당,자치단체 재난 및 국가기반분야 매뉴얼 통합관리
안전재난하천과,민방위담당,안전지수 및 생활안전지도 작성 지원 및 관리
안전재난하천과,민방위담당,안전점검의 날 계획수립 및 시행
안전재난하천과,민방위담당,안전문화운동에 관한 종합계획수립·시행 및 육성
안전재난하천과,민방위담당,지역축제 안전관리에 관한 사항
안전재난하천과,민방위담당,재난안전분야 종사자 전문 교육에 관한 사항
안전재난하천과,민방위담당,재난안전네트워크 등 민관협력체계 구축·운영
안전재난하천과,민방위담당,"특정관리대상시설물 및 시특법대상시설 지정관리 정비, 안전점검 및 진단 종합관리"
안전재난하천과,민방위담당,물놀이 안전계획 수립 및 안전시설 관리·정비
안전재난하천과,민방위담당,수상레저 사업·기구 등록 및 안전관리
안전재난하천과,민방위담당,유·도선장 및 유·도선관리
안전재난하천과,민방위담당,이재민 재해구호 및 구호품에 관한 사항
안전재난하천과,민방위담당,안전한국훈련 등 재난대비 훈련
안전재난하천과,민방위담당,특별교부세(재난안전)에 관한 사항
안전재난하천과,민방위담당,과내 다른 업무분야에 속하지 아니하는 사항
안전재난하천과,하천담당,민방위 계획의 수립시행
안전재난하천과,하천담당,민방위협의회 운영
안전재난하천과,하천담당,인력동원계획의 수립 및 자원관리 (영천시청 직장민방위대 관리)
안전재난하천과,하천담당,민방위 시설 및 장비 관리
안전재난하천과,하천담당,전시민방위계획 수립 시행
안전재난하천과,하천담당,비상대비업무의 조정 통제
안전재난하천과,하천담당,민방위교육 및 훈련
안전재난하천과,하천담당,주민신고에 관한 사항
안전재난하천과,하천담당,핵 및 화생방에 관한 사항
안전재난하천과,하천담당,민방위 사태하의 민방위대 동원
안전재난하천과,하천담당,병무청 협조에 관한 사항
안전재난하천과,하천담당,예비군육성 지원
안전재난하천과,하천담당,의용소방대 지원
안전재난하천과,하천담당,을지연습 등 각종 통합방위훈련
안전재난하천과,하천담당,통합방위협의회 운영에 관한 사항
안전재난하천과,하천담당,"KR/FE 연습 등 민관군경 합동훈련, 화랑훈련"
건축디자인과,건축허가담당,주택건설 종합계획의 수립 · 조정
건축디자인과,건축허가담당,국민주택기금 조성 · 운영
건축디자인과,건축허가담당,국민주택조합 설립 · 운영
건축디자인과,건축허가담당,주택건설사업 승인 및 지도감독
건축디자인과,건축허가담당,"농촌 주거환경 개선사업(주택개량, 빈집정비 등)"
건축디자인과,건축허가담당,도시 주거환경 개선사업
건축디자인과,건축허가담당,공동주택 관리에 관한 사항
건축디자인과,건축허가담당,주택건설사업자 등록 · 관리
건축디자인과,건축허가담당,주택관리업 및 임대사업자 신고 · 관리
건축디자인과,건축허가담당,재해주택에 관한 사항
건축디자인과,건축허가담당,건축물 안전점검에 관한 사항
건축디자인과,건축허가담당,"취약계층 주택복지(주택개보수, 전세자금대출 등)에 관한 사항"
건축디자인과,건축허가담당,주거급여 수급자 보장 결정 및 보장비용 징수
건축디자인과,건축허가담당,영구임대주택 입주자 선정
건축디자인과,건축허가담당,저소득 전 · 월세임대주택 입주자 선정
건축디자인과,건축허가담당,"위원회 운영(건축위원회, 분양가상한심사위원회, 공동주택지원심의위원회)에 관한 사항"
건축디자인과,건축허가담당,공동주택 광역교통시설부담금 및 기반시설부담금 부과징수
건축디자인과,건축허가담당,과내 다른 업무분야에 속하지 아니하는 사항
건축디자인과,공공건축지도담당,건축물의 건축허가에 관한 사항
건축디자인과,공공건축지도담당,가설건축물의 건축에 관한 사항
건축디자인과,공공건축지도담당,공용건축물의 협의에 관한 사항
건축디자인과,공공건축지도담당,건축조례에 관한 사항
건축디자인과,공공건축지도담당,건축위원회 운영 및 관리
건축디자인과,공공건축지도담당,건축행정 및 건실화대책 추진
건축디자인과,공공건축지도담당,건축사 지도 및 감독
건축디자인과,공공건축지도담당,건축물관리계획 및 정책수립
건축디자인과,공공건축지도담당,건축물 생애이력 정보구축 및 관리
건축디자인과,공공건축지도담당,건축물 유지관련 업무
건축디자인과,공공건축지도담당,화재안전성능 보강사업
지적정보과,토지정보담당,토지이동 및 지적측량 성과 검사
지적정보과,토지정보담당,공유토지분할에 관한 업무
지적정보과,토지정보담당,토지분할 허가에 관한 사항
지적정보과,토지정보담당,토지표시변경 등기촉탁
지적정보과,토지정보담당,국가소송수행 업무(토지이동)
지적정보과,토지정보담당,지적공부 보존문서 관리)
지적정보과,토지정보담당,지적장비 운영 및 관리
지적정보과,토지정보담당,지적도면 작성 및 재작성
지적정보과,토지정보담당,"측량, 기준점 관리"
지적정보과,토지정보담당,지적 행정구역 조정업무
지적정보과,토지정보담당,지리정보(GIS)시스템 개발 및 DB구축 운영
지적정보과,토지정보담당,지적측량 수행자 업무지도
지적정보과,토지정보담당,지명위원회 운영 및 지명 정비에 관한 사항
지적정보과,토지정보담당,과내 다른 업무분야에 속하지 아니하는 사항
지적정보과,지적재조사담당,도로명 및 건물번호 부여 사업
지적정보과,지적재조사담당,부동산종합공부 자료정리 업무
지적정보과,지적재조사담당,지적민원 즉결(창구) 처리
지적정보과,지적재조사담당,지적전산운영 및 자료정비 관리(전산자료 제공)
지적정보과,지적재조사담당,비법인 등록번호 부여 관리
지적정보과,지적재조사담당,토지소유권 정리
지적정보과,지적재조사담당,도로명 상세주소 부여 사업
지적정보과,지적재조사담당,도로명주소 정보의 자료관리 및 제공
지적정보과,지적재조사담당,도로명주소 기초번호판 설치 사업
지적정보과,지적재조사담당,도로명주소 시설물 유지 · 관리
지적정보과,지적재조사담당,부동산특별조치법에 관한 사항
지적정보과,지적재조사담당,조상땅 찾아주기 업무
지적정보과,지적재조사담당,국가지점번호 관리
지적정보과,지적재조사담당,국가기초구역 업무
지적정보과,지적재조사담당,국토정보시스템 운영
지적정보과,지적재조사담당,구 토지(임야)대장 전산자료 관리
지적정보과,지적재조사담당,연속지적자료 정리 및 유지 관리
지적정보과,지적재조사담당,한국토지정보시스템 관리
지적정보과,지적재조사담당,지적전산 사용자 권한 관리
지적정보과,지적재조사담당,국가소송업무(토지소유권)
지적정보과,지적재조사담당,도로명주소 홍보
